date,mktrf,smb,hml,umd,chep,mom,vbr,mtum
9/29/17,0.0251,0.0447,0.0314,-0.0132,0.003559845,0.002903535,0.048605539,0.027126897
10/31/17,0.0225,-0.0194,0.002,0.0427,-0.018106295,0.050962131,0.007707861,0.049476251
11/30/17,0.0312,-0.0055,-0.0003,-0.0087,-0.021655891,-0.008588207,0.030854913,0.027160174
12/29/17,0.0106,-0.0132,0.0006,-0.0154,0.068852469,-0.021574792,0.004154505,0.000339006
1/31/18,0.0557,-0.0313,-0.0129,0.0405,-0.015912538,0.045830056,0.018079994,0.081026351
2/28/18,-0.0365,0.0025,-0.0104,0.0358,-0.016949205,0.015877079,-0.048462227,-0.015704402
3/29/18,-0.0235,0.0406,-0.0021,-0.0113,-0.019024953,-0.003148625,0.007090534,-0.035524879
4/30/18,0.0028,0.0113,0.0054,0.0036,-0.008888861,-0.002835162,0.002617959,0.003603765
5/31/18,0.0265,0.0525,-0.032,0.0389,-0.021402426,0.016292339,0.043774658,0.033076336
6/29/18,0.0048,0.0114,-0.0234,-0.0235,-0.016663181,-0.045525294,0.002227095,-0.002125062
7/31/18,0.0319,-0.0222,0.0047,-0.0141,0.022241035,-0.001426818,0.023291414,0.01599344
8/31/18,0.0344,0.0114,-0.0394,0.0529,-0.047451247,0.033010796,0.022543139,0.057076012
9/28/18,0.0006,-0.0227,-0.017,0.0004,-0.011311735,-0.006465519,-0.018250146,0.007680291
10/31/18,-0.0768,-0.0478,0.034,-0.0199,-0.031463154,-0.032418404,-0.092385081,-0.100471457
11/30/18,0.0169,-0.0068,0.003,-0.0137,0.021126768,-0.0121316,0.021710814,0.012369892
12/31/18,-0.0957,-0.0238,-0.0184,0.0211,-0.037028745,0.028510338,-0.116495479,-0.077045899
1/31/19,0.084,0.029,-0.0046,-0.0868,0.027782066,-0.055379324,0.109507954,0.062451465
2/28/19,0.034,0.0205,-0.0267,0.0086,-0.021171663,0.009367669,0.038108551,0.032126923
3/29/19,0.011,-0.0305,-0.0417,0.0221,-0.022453731,0.021014182,-0.021092342,0.019238012
4/30/19,0.0397,-0.0174,0.0215,-0.0297,0.005446354,-0.010191071,0.036974022,0.020453029
5/31/19,-0.0694,-0.0132,-0.0237,0.0756,-0.066179879,0.072853185,-0.083439695,-0.024068413
6/28/19,0.0693,0.0029,-0.0071,-0.023,0.019445142,-0.037350293,0.066565037,0.059370638
7/31/19,0.0119,-0.0193,0.0048,0.0289,-0.011652376,0.009729334,0.005607362,0.016059569
8/30/19,-0.0258,-0.0238,-0.0478,0.0692,-0.052565765,0.085766099,-0.055964365,0.00105054
9/30/19,0.0143,-0.0096,0.0675,-0.0681,0.083751708,-0.07695163,0.038064141,-0.013162949
10/31/19,0.0206,0.0029,-0.0191,0.0015,0.015358387,-0.009337042,0.015862164,0.004856995
11/29/19,0.0387,0.0077,-0.0202,-0.0266,0.004081589,-0.030522017,0.023590235,0.031711219
12/31/19,0.0277,0.0073,0.0175,-0.0177,0.023834543,-0.037439883,0.026405738,0.015495857
1/31/20,-0.0011,-0.0311,-0.0625,0.0598,-0.069639921,0.097783573,-0.03500548,0.036132279
2/28/20,-0.0813,0.0107,-0.0381,-0.004,-0.053063311,0.009501179,-0.102974223,-0.073056238
3/31/20,-0.1339,-0.0483,-0.1387,0.0797,-0.101786636,0.122352973,-0.251531981,-0.116887376
4/30/20,0.1365,0.0245,-0.0133,-0.0523,-0.039885487,-0.01921737,0.131081074,0.117017269
5/29/20,0.0558,0.0247,-0.0488,0.0043,-0.073975243,0.048656959,0.047888843,0.058585016
6/30/20,0.0246,0.0269,-0.022,-0.0073,-0.000338991,-0.018273698,0.020349325,0.042991796
7/31/20,0.0577,-0.0233,-0.0141,0.0761,-0.054933839,0.07845211,0.032821851,0.070052692
8/31/20,0.0763,-0.0022,-0.0297,0.0055,-0.00861147,-0.034156933,0.046169473,0.094699861
9/30/20,-0.0363,0.0002,-0.0271,0.0312,-0.032211345,0.029879926,-0.037315974,-0.03815387
10/30/20,-0.021,0.0438,0.0425,-0.0305,0.02939414,-0.016125884,0.031265827,-0.041958878
11/30/20,0.1247,0.058,0.0209,-0.1243,0.091578931,-0.145554096,0.174133109,0.10618061
12/31/20,0.0463,0.0489,-0.0151,-0.0232,,-0.032370754,0.067866945,0.03420495
1/29/21,-0.0003,0.0736,0.0301,0.045,,0.015834616,0.020292334,0.015834078
2/26/21,0.0278,0.0205,0.0715,-0.0789,,-0.08261539,0.087933257,-0.005858701
3/31/21,0.0308,-0.0237,0.0739,-0.0614,,,0.053057615,-0.011957989
4/30/21,0.0493,-0.0319,-0.0095,0.0116,,,0.040094193,0.070558287
5/28/21,0.0029,-0.0025,0.0709,0.0088,,,0.022351269,-0.010568534
6/30/21,0.0275,0.0168,-0.0787,0.022,,,-0.010161853,0.018580945
7/30/21,0.0127,-0.0397,-0.0178,-0.0228,,,-0.016468966,0.00922566
8/31/21,0.0291,-0.0042,-0.0015,0.0245,,,0.020843077,0.041192979
9/30/21,-0.0437,0.0071,0.0508,0.0149,,,-0.025455415,-0.034602195
10/29/21,0.0665,-0.0235,-0.0049,0.0319,,,0.045551263,0.085876912
11/30/21,-0.0155,-0.0132,-0.0045,0.0088,,,-0.030231146,-0.039490242
12/31/21,0.031,-0.0167,0.0326,-0.026,,,0.048916498,-0.004932468
1/31/22,-0.0625,-0.0594,0.1275,-0.026,,,-0.044115175,-0.090309165
2/28/22,-0.0229,0.0219,0.0308,0.0176,,,0.016261106,-0.026783511
3/31/22,0.0305,-0.0161,-0.0181,0.0301,,,0.016163364,0.047594501
4/29/22,-0.0946,-0.0139,0.0617,0.0487,,,-0.063473931,-0.126920058
5/31/22,-0.0034,-0.0183,0.0839,0.0243,,,0.018329817,-0.006289176
6/30/22,-0.0843,0.021,-0.0597,0.0075,,,-0.103827057,-0.064325583
7/29/22,0.0957,0.0281,-0.0405,-0.0395,,,0.097451134,0.050897612
8/31/22,-0.0377,0.014,0.0029,0.0204,,,-0.029370458,-0.021841436
9/30/22,-0.0935,-0.0081,0.0005,0.0351,,,-0.100941432,-0.061358308
10/31/22,0.0783,0.0006,0.0801,0.0396,,,0.117713997,0.12321932
11/30/22,0.046,-0.0352,0.0138,-0.0198,,,0.052700476,0.031778917
12/31/22,-0.0641,-0.0069,0.0137,0.0454,,,-0.060047615,-0.042499438
1/31/23,0.0665,0.0501,-0.0401,-0.1599,,,0.087243095,-0.008981997
2/28/23,-0.0258,0.0117,-0.0081,0.0016,,,-0.025973775,-0.043777595
3/31/23,0.0251,-0.0551,-0.0885,-0.0249,,,-0.060590009,0.000518683
4/30/23,0.0061,-0.0335,-0.0004,0.0163,,,-0.013074131,0.020449957
5/31/23,0.0035,0.0161,-0.0772,-0.0063,,,-0.037815242,-0.051854516
6/30/23,0.0646,0.0154,-0.0026,-0.0239,,,0.091004566,0.064564296
7/31/23,0.0321,0.0207,0.0413,-0.0406,,,0.049853118,0.012831023
